"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2026","End to end user flow for placing an order on Swag labs","","Mon Sep 29 15:25:37 AEST 2025","passed","Mon Sep 29 15:25:39 AEST 2025","","","",""
"","2850","Add items of users choice to cart and verify cart list, quantity on cart icon and products with quantity on checkout page","","Mon Sep 29 15:25:21 AEST 2025","passed","Mon Sep 29 15:25:24 AEST 2025","","","",""
"","1942","Unsuccessful login with invalid credentials","","Mon Sep 29 15:25:04 AEST 2025","passed","Mon Sep 29 15:25:06 AEST 2025","","","",""
"","2025","End to end user flow for placing an order on Swag labs","","Mon Sep 29 15:25:31 AEST 2025","passed","Mon Sep 29 15:25:33 AEST 2025","","","",""
"","1615","Successful login with valid credentials","","Mon Sep 29 15:25:19 AEST 2025","passed","Mon Sep 29 15:25:21 AEST 2025","","","",""
"","6723","Successful login with valid credentials","","Mon Sep 29 15:25:13 AEST 2025","broken","Mon Sep 29 15:25:19 AEST 2025","","","",""
"","1975","End to end user flow for placing an order on Swag labs","","Mon Sep 29 15:25:29 AEST 2025","failed","Mon Sep 29 15:25:31 AEST 2025","","","",""
"","1653","Sorting items by name in both orders","","Mon Sep 29 15:25:24 AEST 2025","passed","Mon Sep 29 15:25:25 AEST 2025","","","",""
"","1679","Sorting items by price in both orders","","Mon Sep 29 15:25:25 AEST 2025","passed","Mon Sep 29 15:25:27 AEST 2025","","","",""
"","1928","End to end user flow for placing an order on Swag labs","","Mon Sep 29 15:25:35 AEST 2025","failed","Mon Sep 29 15:25:37 AEST 2025","","","",""
